NOME_EMPRESARIAL,NOME_CARGA,CNPJ_CARGA,CODIGO_CARGA
NOVELIS DO BRASIL LTDA.,NOVELIS - OURO PRETO - MG,60561800003048.0,142
NOVELIS DO BRASIL LTDA.,ALCAN PINDAMINHANGABA,60561800004109.0,169
NOVELIS DO BRASIL LTDA.,NOVELIS - SANTO ANDRE - SP,60561800000294.0,70068
CUMMINS BRASIL LIMITADA,CUMMINS - GUARULHOS - SP,43201151000110.0,899945
CHEMTRADE BRASIL LTDA,NEXEN LIVRE (CHEMTRADE),3461875000189.0,7008
CIPLAN CIMENTO PLANALTO SA,CIPLAN,57240000122.0,7055
DEXCO S.A,SATIPEL UBERABA,97837181001119.0,7637
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP TAIAÇUPEBA ALTO TIETÊ,43776517062967.0,7390
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP RIO GRANDE,43776517013834.0,7409
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP GUARAPIRANGA,43776517036613.0,7410
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP P NOVO MUNDO,43776517069201.0,7411
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP ABC - S.BERNARDO - SP,43776517058854.0,7569
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - TEODORO RAMOS - SP,43776517034912.0,7598
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP 46R - BARUERI - SP,43776517000180.0,7920
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - ETE SUZANO - SP,43776517059745.0,908634
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - ETE SAO MIGUEL PAULISTA - SP,43776517000180.0,909071
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - EEAT JOÃO XXIII - UC 200711355,43776517000180.0,910063
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - EEAT JARDIM DAMASCENO - SP,43776517000180.0,910677
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP EEAB C. DO FRANCA - UC 4001273207,43776517000180.0,925188
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - ETA GUARAU - UC MTE0007122,43776517000180.0,934610
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,SABESP - ETA VARGEM GRANDE UC 203224285,43776517000180.0,934643
APERAM INOX AMERICA DO SUL S.A.,ACESITA TIMÓTEO,33390170001312.0,7767
BELGO BEKAERT ARAMES LTDA,BBA - CONTAGEM - MG,61074506000130.0,7735
BELGO BEKAERT ARAMES LTDA,BB ARAMES - OSASCO - SP T51,61074506000644.0,7838
ARCELORMITTAL BRASIL S.A.,CST,17469701010482.0,79
ARCELORMITTAL BRASIL S.A.,ARCELORMITTAL BARRA MANSA,17469701022499.0,7256
ARCELORMITTAL BRASIL S.A.,BELGO MINEIRA PIRACICABA,17469701004911.0,7387
ARCELORMITTAL BRASIL S.A.,BELGO MINEIRA - SABARÁ -MG,17469701003273.0,7709
ARCELORMITTAL BRASIL S.A.,VEGA S FRANCISCO DO SUL,17469701010644.0,70503
ARCELORMITTAL BRASIL S.A.,ARCELORMITTAL RESENDE,17469701026052.0,70776
